interacao_id,aluno_id,data_interacao,topico,nivel_dificuldade,pergunta_aluno,resposta_assistente,acertou_exercicio,tempo_resposta_seg
1,ALU012,2026-09-04 08:00,Multiplicação,fácil,Qual é a tabuada do 7?,Explicação passo a passo sobre multiplicação adaptada ao 6º-9º ano.,1,21
2,ALU001,2026-08-15 15:00,Sistema Solar,fácil,Quais são os planetas do sistema solar?,Explicação passo a passo sobre sistema solar adaptada ao 6º-9º ano.,1,29
3,ALU004,2026-08-29 16:00,Frações,médio,Como simplificar 6/8?,Explicação passo a passo sobre frações adaptada ao 6º-9º ano.,0,40
4,ALU013,2026-08-28 12:00,Gramática - Concordância,médio,Por que 'os menino' está errado?,Explicação passo a passo sobre gramática - concordância adaptada ao 6º-9º ano.,0,31
5,ALU004,2026-08-07 12:00,Gramática - Concordância,médio,Por que 'os menino' está errado?,Explicação passo a passo sobre gramática - concordância adaptada ao 6º-9º ano.,0,41
6,ALU013,2026-08-30 15:00,Geometria - Ângulos,difícil,Como meço um ângulo com o transferidor?,Explicação passo a passo sobre geometria - ângulos adaptada ao 6º-9º ano.,1,83
7,ALU002,2026-08-24 16:00,Multiplicação,fácil,Como multiplico números com dois dígitos?,Explicação passo a passo sobre multiplicação adaptada ao 6º-9º ano.,1,23
8,ALU001,2026-08-19 08:00,Interpretação de Texto,difícil,Qual é a ideia principal desse parágrafo?,Explicação passo a passo sobre interpretação de texto adaptada ao 6º-9º ano.,0,47
9,ALU007,2026-08-24 12:00,Interpretação de Texto,difícil,Qual é a ideia principal desse parágrafo?,Explicação passo a passo sobre interpretação de texto adaptada ao 6º-9º ano.,1,60
10,ALU012,2026-08-05 16:00,Interpretação de Texto,difícil,Como identifico o narrador de uma história?,Explicação passo a passo sobre interpretação de texto adaptada ao 6º-9º ano.,0,58
11,ALU003,2026-09-05 10:00,Divisão,médio,Como faço a divisão de 144 por 12?,Explicação passo a passo sobre divisão adaptada ao 6º-9º ano.,1,41
12,ALU004,2026-08-21 13:00,Geometria - Ângulos,difícil,Qual a diferença entre ângulo agudo e obtuso?,Explicação passo a passo sobre geometria - ângulos adaptada ao 6º-9º ano.,0,125
13,ALU004,2026-08-14 17:00,Gramática - Concordância,médio,Por que 'os menino' está errado?,Explicação passo a passo sobre gramática - concordância adaptada ao 6º-9º ano.,0,25
14,ALU015,2026-08-30 09:00,Ortografia,fácil,Por que 'exceção' tem C e Ç?,Explicação passo a passo sobre ortografia adaptada ao 6º-9º ano.,0,16
15,ALU004,2026-08-28 21:00,Gramática - Concordância,médio,Por que 'os menino' está errado?,Explicação passo a passo sobre gramática - concordância adaptada ao 6º-9º ano.,0,23
16,ALU004,2026-08-09 15:00,Sistema Solar,fácil,Por que a Terra tem estações do ano?,Explicação passo a passo sobre sistema solar adaptada ao 6º-9º ano.,0,17
17,ALU013,2026-08-28 16:00,Ortografia,fácil,Quando uso 'mas' e quando uso 'mais'?,Explicação passo a passo sobre ortografia adaptada ao 6º-9º ano.,1,26
18,ALU007,2026-08-30 15:00,Multiplicação,fácil,Como multiplico números com dois dígitos?,Explicação passo a passo sobre multiplicação adaptada ao 6º-9º ano.,1,25
19,ALU011,2026-08-18 19:00,Gramática - Concordância,médio,Por que 'os menino' está errado?,Explicação passo a passo sobre gramática - concordância adaptada ao 6º-9º ano.,0,38
20,ALU005,2026-08-30 07:00,Geometria - Ângulos,difícil,Qual a diferença entre ângulo agudo e obtuso?,Explicação passo a passo sobre geometria - ângulos adaptada ao 6º-9º ano.,1,49
21,ALU009,2026-09-10 15:00,Gramática - Concordância,médio,Por que 'os menino' está errado?,Explicação passo a passo sobre gramática - concordância adaptada ao 6º-9º ano.,0,52
22,ALU006,2026-09-04 19:00,Interpretação de Texto,difícil,Qual é a ideia principal desse parágrafo?,Explicação passo a passo sobre interpretação de texto adaptada ao 6º-9º ano.,0,61
23,ALU006,2026-08-20 10:00,Frações,médio,Como simplificar 6/8?,Explicação passo a passo sobre frações adaptada ao 6º-9º ano.,1,54
24,ALU015,2026-08-06 08:00,Frações,médio,Como faço para somar 1/3 com 1/4?,Explicação passo a passo sobre frações adaptada ao 6º-9º ano.,1,53
25,ALU013,2026-09-05 09:00,Ortografia,fácil,Quando uso 'mas' e quando uso 'mais'?,Explicação passo a passo sobre ortografia adaptada ao 6º-9º ano.,1,26
26,ALU004,2026-08-13 18:00,Gramática - Concordância,médio,Como concordar verbo com sujeito composto?,Explicação passo a passo sobre gramática - concordância adaptada ao 6º-9º ano.,0,59
27,ALU011,2026-08-08 10:00,Gramática - Concordância,médio,Como concordar verbo com sujeito composto?,Explicação passo a passo sobre gramática - concordância adaptada ao 6º-9º ano.,1,29
28,ALU006,2026-09-05 10:00,Interpretação de Texto,difícil,Qual é a ideia principal desse parágrafo?,Explicação passo a passo sobre interpretação de texto adaptada ao 6º-9º ano.,1,85
29,ALU002,2026-08-03 20:00,Interpretação de Texto,difícil,Qual é a ideia principal desse parágrafo?,Explicação passo a passo sobre interpretação de texto adaptada ao 6º-9º ano.,0,82
